No.,Q1,Label
1,I took this course because I had no other choice if I wanted to graduate within eight semesters.,Requirements
2,"Computer Science senior. Because there are no other options. I believe that pattern mining, classification, and anomaly network detection will be helpful for cybersecurity.",No option
3,I want to learn properly through a project while taking the data mining course and other computer-related courses together. I chose this course because I want to learn in depth through a data mining project.,Learn
4,"I hope to study RL, especially AI alignment. I have taken lots of courses in CS and statistics, I haven't done anything. To practice, I'll make the core basis. I'll make bases for AI with data science knowledges and want to complete my own project to improve problem solving skill.",Learn
5,Taking this course to prepare for employment while learning data mining. I want to create things I imagine with data mining.,Requirements
6,"The reason is that I want to learn about data science. My major is data science, but I didn't learn about data science in university. So, I chose this course and I want to build deeper knowledge about DS.",Learn
7,This course fits a 3rd-year student who likes games. I have a lot of interest in games and want to analyze game data.,Analyze data
8,I wanted to get a better understanding of data science. I already took the course for AI. Learned about ML and what to do with data. Good opportunity to learn how and what to do with data to actually solve problems.,Learn
9,I chose to take this class because I am majoring in data science. I also would like to be a data analyst. I once worked in a telecom company and heard that field of data science is one of the most upcoming job positions.,Major
10,The main reason is to explore a new path of computer science since I have not yet tried any class related to data science.,Explore
11,Using data mining as a system developer living in the AI generation. Studying statistics. I think it can be used in many ways at school as well.,Vague
12,Solving real-life problems through knowledge and tools while learning data mining. I want to study machine learning and AI more deeply and understand how companies actually use them.,Learn
13,Taking the course to improve capabilities when seeking employment. Acquiring background knowledge necessary for taking data mining-related lectures. To build basic knowledge and better understand the class content.,Improve
14,I chose this Data Science class to improve my analytical and problem-solving skills. Data is an important role in making decisions. I hope this class helps me understand trends and patterns efficiently.,Improve
15,"While reading the book 'Why do machines learn?' during winter break, data clustering content appeared, so I chose it to learn more details at a 4th-year level.",Learn
16,I want to solve various problems using data mining and learn by encountering real-world cases.,Learn
17,To learn more about data mining and how it could benefit website search engine optimization. Planning to integrate data mining insights. Intrigued by how collected and trained data can be extrapolated to predict future or upcoming data.,Learn
18,I am a data science student but still don't know what I am learning until now and how to apply it in real world. Had taken machine learning and AI class last semester which could be helpful in this class.,Vague
19,Chose this class for team project. There are lots of advanced LLM models today and also image generation. Hope to learn how these work and make a great data processing class project with team.,Learn
20,I chose this cause because I want to understand how data can be used to solve real world problems. I'm interested in Data Science. This class would help me build a foundation in analyzing data and making meaningful decisions.,Learn
21,I chose this course because I am interested in exploring how data works since every information and knowledge in life can also be considered as data.,Explore
22,Previously studied data mining with a vision-based topic. Want to learn more broadly and in practical fields where data mining can be used.,Learn
23,I want to study in a direction that can be used in graduate school while learning algorithms related to data mining.,Learn
24,I work part-time at a shoe reselling company. Developed a software that mines data to make money.,Vague
25,I actually want to know and understand what data science is. I have a lot of friends in Data Science major but I don't really know what they do or how it differs from CS (AI). Hope this course can give me insights.,Learn
26,"Reason for choosing: mostly for fulfilling credits. But it also seemed the most interesting and useful, and we put with data evaluation.",Requirements
27,I'm investigating how software developers improve their methods. Researchers draw out meaningful insights from data. Finding meaningful insights from real world data is important for my research. Chose this course to enhance my research.,Improve
28,I chose this course to develop my skills to analyze a vast amount of data. Got interested in AI & deep learning. Looking forward to getting knowledge about data science so I can adapt well in AI society where big data is important. Also wanted to experience team project.,Develop
29,"I am interested in Data Analysis and it might be considered to be my future career. I wish to learn more concepts, knowledge, and practice in university.",Learn
30,One of the interesting topics I would like to know more about. Needed credit hours for major. DS is useful and needed knowledge that may help a lot in future career. Professor's teaching style is interesting.,Learn
31,"The course would teach me how to connect dots between other courses (machine learning, regression analysis, data visualization). Will gain better insights of real world data and how it will be processed.",Connect
