No.,Q1,Q2
1,I took this course because I had no other choice if I wanted to graduate within eight semesters.,An idea to analyze the compatibility between new post authors and users by mining 'Twitter(X) Friend Introduction' hashtag data. Customer: primarily myself.
2,"Computer Science senior. Because there are no other options. I believe that pattern mining, classification, and anomaly network detection will be helpful for cybersecurity.","Hidden information in media (news), political bias issues. Unreleased update information for games/TV. I want to find information in my areas of interest through data mining."
3,I want to learn properly through a project while taking the data mining course and other computer-related courses together. I chose this course because I want to learn in depth through a data mining project.,"Game recommendation system - A system that recommends suitable games without detailed information. It's difficult to find games because there are many, and I want to utilize data mining concepts through game data."
4,"I hope to study RL, especially AI alignment. I have taken lots of courses in CS and statistics, I haven't done anything. To practice, I'll make the core basis. I'll make bases for AI with data science knowledges and want to complete my own project to improve problem solving skill.",NULL
5,Taking this course to prepare for employment while learning data mining. I want to create things I imagine with data mining.,Life problem. Sleep problem. Irregular sleep due to a bad lifestyle. Possible to improve sleep quality through sleep pattern analysis. I want to address this problem with today's data mining study.
6,"The reason is that I want to learn about data science. My major is data science, but I didn't learn about data science in university. So, I chose this course and I want to build deeper knowledge about DS.",Data analysis through pattern mining - I am curious how DS is utilized. I want to find patterns in various data and broaden my thinking in the data field.
7,This course fits a 3rd-year student who likes games. I have a lot of interest in games and want to analyze game data.,Difficulty using public transportation without KakaoMap updates. Inconvenience due to lack of real-time information. Inconvenience of having to leave 10 times earlier. It would be more convenient if public transportation information was improved through data mining.
8,I wanted to get a better understanding of data science. I already took the course for AI. Learned about ML and what to do with data. Good opportunity to learn how and what to do with data to actually solve problems.,"One problem in my daily life is time management. I get distracted (screen time, YouTube, games, history). This class will help me be able to use daily data patterns and knowledge to help me focus better when it is harder."
9,I chose to take this class because I am majoring in data science. I also would like to be a data analyst. I once worked in a telecom company and heard that field of data science is one of the most upcoming job positions.,"Using raw data to usable data. For example, making a simple yet informative presentation from raw data. Could organize life more by categorizing monthly expenses. Track where money have gone to."
10,The main reason is to explore a new path of computer science since I have not yet tried any class related to data science.,Trying to stay on track of my monthly budget. Been 2 years living in Korea University but still overspend. Hope this class helps me manage and recognize data patterns in life.
